[10.869905526609706, 'TUREI', True]
[10.869900085780252, 'SURIA', True]
[10.864530942972621, 'SARIT', True]
[10.85951293766972, 'CURAI', True]
[10.858588811942486, 'TAREI', True]
[10.852579320877545, 'TARIE', True]
[10.84717100124601, 'CARTI', True]
[10.846613918574775, 'TULAI', True]
[10.842213032610609, 'SERAI', True]
[10.834370212655042, 'CAREI', True]
[10.83292713401867, 'CARUI', True]
[10.828912111434423, 'SERIA', True]
[10.825853597693117, 'CURIA', True]
[10.81716993915801, 'TALEI', True]
[10.814928932997445, 'CARIE', True]
[10.804913416576643, 'SUTAI', True]
[10.800951277022584, 'RULAI', True]
[10.800873274124514, 'SALIE', True]
[10.799869999317199, 'RATEI', True]
[10.787552153593882, 'TALIE', True]
[10.787073601048231, 'RATIE', True]
[10.783865736926138, 'CALEI', True]
[10.78008308481081, 'TAURI', True]
[10.772078876705729, 'LATEI', True]
[10.768965497923869, 'MARIE', True]
[10.76849578097601, 'MAREI', True]
[10.762650768176158, 'SATUI', True]
[10.762233141160534, 'RASEI', True]
[10.753125558615341, 'SETAI', True]
[10.74883530388796, 'RALEI', True]
[10.746750046330614, 'RALIE', True]
[10.744085951320566, 'LASEI', True]
[10.738595162959982, 'CATEI', True]
[10.734091768034313, 'TREIA', True]
[10.732526020789631, 'RANEI', True]
[10.725010527355026, 'CATIE', True]
[10.711246275763422, 'RAITE', True]
[10.710826957174444, 'ARTEI', True]
[10.688480867903596, 'LAIET', True]
[10.683051672383993, 'TAIER', True]
[10.64820412250858, 'AURIE', True]
[10.646278272062382, 'AUREI', True]
[10.64403675565649, 'OAREI', True]
[10.621049153004245, 'CAUEI', True]
[10.587218559721034, 'UIREA', True]
